type	by	post_message	picture	link	link_domain	post_published	post_published_unix	likes	likes_count_fb	comments_all	comments_base	comments_replies	shares	comment_likes	engagement	post_id	post_link
photo	post_page_240383372683895	Ontem à noite_ em palestra para cerca de três mil estudantes da Unesc_ em Colatina_ apresentei as linhas gerais do Quarto Ciclo de Desenvolvimento Capixaba_ cujas bases estamos construindo com o maior investimento da nossa história. E ainda entregamos ao município equipamentos agrícolas do Programa Vida no Campo_ demos ordem de serviço para a reforma da Escola Lions Club_ para a construção de uma quadra poliesportiva no bairro São Vicente e para construção de um Campo Bom de Bola no bairro São Miguel.	https://fbcdn-photos-a-a.akamaihd.net/hphotos-ak-prn1/536946_574930412562521_1517701778_s.jpg	https://www.facebook.com/photo.php?fbid=574930412562521&set=a.483645238357706.1073741825.240383372683895&type=1&relevant_count=1	facebook.com	2013-10-31T16:28:14+0000	1383236894	134		8	8	0	14	12	168	240383372683895_574930432562519	https://www.facebook.com/240383372683895/posts/574930432562519
photo	post_page_240383372683895	Agrolegal é o nome que demos ao Plano de Desenvolvimento da Agroindústria Familiar e do Empreendedorismo Rural no Espírito Santo_ lançado hoje pela manhã_ no Palácio Anchieta. Trata-se de mais uma ação do Programa Vida no Campo_ da nossa Secretaria de Agricultura_ para formalizar a situação dos nossos empreendedores rurais. Vamos agregar valor aos nossos produtos locais_ gerando mais trabalho_ renda e oportunidades para os capixabas. Também preparamos a adesão dos municípios ao Sistema Unificado Estadual de Sanidade Agroindustrial Familiar de Pequeno Porte_ o Susaf-ES – mecanismo aprovado no texto da nossa Lei Geral da Micro e Pequena Empresa_ e que possibilitará que produtos de origem animal e vegetal sejam comercializados em todo o Estado – mais uma força para desenvolvermos equilibradamente o Espírito Santo.	https://fbcdn-photos-g-a.akamaihd.net/hphotos-ak-prn2/1379519_574087092646853_1893029553_s.jpg	https://www.facebook.com/photo.php?fbid=574087092646853&set=a.483645238357706.1073741825.240383372683895&type=1&relevant_count=1	facebook.com	2013-10-29T20:07:57+0000	1383077277	127		8	8	0	25	4	164	240383372683895_574087109313518	https://www.facebook.com/240383372683895/posts/574087109313518
photo	post_page_240383372683895	Hoje no Palácio Anchieta demos o sinal verde para a 10ª Semana Estadual de Ciência e Tecnologia. A partir de amanhã_ na Praça do Papa_ teremos diversas palestras_ mostras_ salão de inventores_ oficinas_ e atrações culturais – isso com a participação dos nossos alunos_ dos órgãos da administração direta e indireta do Governo_ e de parceiros – tudo bem organizado em 13 mil metros quadrados de pura inovação. Essa_ que junto à modernização tecnológica é um dos pilares centrais para a expansão e diversificação da economia estadual e faz parte das diretrizes da nossa gestão. Todo o nosso apoio e entusiasmo para fazer desta semana a mais divertida_ produtiva e inspiradora para os jovens capixabas. Convidem a família_ os amigos e aproveitem os mais de 350 estandes cheios de fantásticas atividades!	https://fbcdn-photos-h-a.akamaihd.net/hphotos-ak-prn2/1374173_570701906318705_428342823_s.jpg	https://www.facebook.com/photo.php?fbid=570701906318705&set=a.483645238357706.1073741825.240383372683895&type=1&relevant_count=1	facebook.com	2013-10-21T19:37:44+0000	1382384264	0		17	17	0	37	0	54	240383372683895_570701942985368	https://www.facebook.com/240383372683895/posts/570701942985368
photo	post_page_240383372683895	A formatura do Pronatec hoje no Centro de Convenções foi essa festa bonita aí da foto. Salão lotado_ todo mundo com um diploma_ uma formação_ uma perspectiva em mãos. Durante o evento_ anunciamos o repasse de R$ 19 milhões para os municípios por meio do Fundo de Combate à Pobreza_ o maior volume de recursos em três anos. Já inauguramos 34 CRAS_ e serão mais 25 unidades pelo Estado_ além de 20 CRAS móveis.Também anunciamos a ampliação do Bolsa Capixaba_ de 9 mil para 32 mil famílias_ programa que aliado à infraestrutura_ formação_ dentre outras ações_ ajuda a consolidar nosso sistema de assistência social.	https://fbcdn-photos-b-a.akamaihd.net/hphotos-ak-ash3/935999_569128743142688_15945037_s.jpg	https://www.facebook.com/photo.php?fbid=569128743142688&set=a.483645238357706.1073741825.240383372683895&type=1&relevant_count=1	facebook.com	2013-10-18T23:47:12+0000	1382140032	116		19	16	3	24	4	163	240383372683895_569128839809345	https://www.facebook.com/240383372683895/posts/569128839809345
photo	post_page_240383372683895	Olha aí a turma animada para os Jogos Estaduais dos Idosos. Me deram a honra de fazer a abertura oficial dessa festa_ que esse ano conta com mais de 880 participantes_ de 21 municípios. Esporte_ em qualquer idade_ é saúde! E o pessoal da melhor idade provou que vai fazer bonito.	https://fbcdn-photos-d-a.akamaihd.net/hphotos-ak-ash4/1393604_568040819918147_627140519_s.jpg	https://www.facebook.com/photo.php?fbid=568040819918147&set=a.483645238357706.1073741825.240383372683895&type=1&relevant_count=1	facebook.com	2013-10-17T00:48:30+0000	1381970910	107		7	6	1	11	3	128	240383372683895_568040829918146	https://www.facebook.com/240383372683895/posts/568040829918146
photo	post_page_240383372683895	Hoje foi um dia de muita alegria em Barra de São Francisco – entregamos a 34ª Unidade Saúde da Família do ES e um Centro de Atenção Psicossocial Álcool e Drogas (Caps–AD)_ uma nova referência para dependentes_ familiares e responsáveis na região. São alguns dos esforços realizados pelo Governo do Espírito Santo para fortalecer o atendimento básico e ampliar os serviços de saúde nos municípios. Também firmamos parceria com a prefeitura para a pavimentação e drenagem de diversas ruas. E amanhã temos um encontro com o pessoal de Ponto Belo e de São Mateus_ onde faremos diversas entregas_ incluindo um novo CRAS_ para receber e atender bem a quem mais precisa!	https://fbcdn-photos-f-a.akamaihd.net/hphotos-ak-prn2/1380404_564499740272255_104541163_s.jpg	https://www.facebook.com/photo.php?fbid=564499740272255&set=a.483645238357706.1073741825.240383372683895&type=1&relevant_count=1	facebook.com	2013-10-10T22:09:00+0000	1381442940	134		7	7	0	25	2	168	240383372683895_564499746938921	https://www.facebook.com/240383372683895/posts/564499746938921
link	post_page_240383372683895	renatocasagrande shared Daniel Cerqueira_s status update.	https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash2/371338_100005558226882_514568858_s.jpg	https://www.facebook.com/daniel.cerqueira.58323/posts/169136293281644	facebook.com	2013-10-08T10:26:28+0000	1381227988	28		2	2	0	2	0	32	240383372683895_1457614691130434	https://www.facebook.com/240383372683895/posts/1457614691130434
photo	post_page_240383372683895	Amanhã é um dia muito especial para o Espírito Santo – daremos ordem de serviço para mais de 143 km de estradas rurais_ dentro do Programa Caminhos do Campo_ num investimento de R$ 120 milhões. Com mais esse lote_ ao final desta gestão_ ultrapassaremos 500 km de pavimentação em todo o interior do nosso Estado. Os benefícios são inúmeros para a agricultura familiar_ para o escoamento da produção_ reduzir os custos e as perdas dos produtos perecíveis_ para fortalecer o agroturismo_ gerar mais emprego_ renda e qualidade de vida. Abaixo_ uma tabela com as localidades atendidas nessa etapa:	https://fbcdn-photos-g-a.akamaihd.net/hphotos-ak-ash3/1383025_563166297072266_212471817_s.png	https://www.facebook.com/photo.php?fbid=563166297072266&set=a.483645238357706.1073741825.240383372683895&type=1&relevant_count=1	facebook.com	2013-10-08T02:07:23+0000	1381198043	179		34	34	0	53	7	273	240383372683895_563166303738932	https://www.facebook.com/240383372683895/posts/563166303738932
photo	post_page_240383372683895	Aí está a bela quadra poliesportiva que entregamos ontem aos moradores de Inhaúma_ um distrito de Iconha. Parece pouco para quem vive na Região Metropolitana_ mas para quem está na área rural_ o valor é imensurável. Aqui_ mais que um espaço para a prática desportiva_ temos um local de comunhão_ de atividades sadias_ que vão das religiosas às festivas_ de solidariedade à celebração de datas importantes. Um espaço para a vida em comunidade. E os moradores estão transbordando de alegria_ porque o asfalto também chegará a Inhaúma_ para elevar ainda mais a qualidade de vida da Região. Um bom domingo a todos os capixabas!	https://fbcdn-photos-e-a.akamaihd.net/hphotos-ak-frc3/1385102_562606690461560_37491228_s.jpg	https://www.facebook.com/photo.php?fbid=562606690461560&set=a.483645238357706.1073741825.240383372683895&type=1&relevant_count=1	facebook.com	2013-10-06T17:51:33+0000	1381081893	152		31	30	1	17	3	203	240383372683895_562606713794891	https://www.facebook.com/240383372683895/posts/562606713794891
photo	post_page_240383372683895	Antes de dar ordem de serviço de mais de R$ 10 milhões para obras de escola_ reforma do Parque Forno Grande e da Unidade Integrada de Polícia em Castelo_ uma passada na tenda da campanha Outubro Rosa do município_ em parceria com a Associação de Apoio à Pessoa com Câncer.	https://fbcdn-photos-b-a.akamaihd.net/hphotos-ak-ash3/537264_562263077162588_1190305758_s.jpg	https://www.facebook.com/photo.php?fbid=562263077162588&set=a.483645238357706.1073741825.240383372683895&type=1&relevant_count=1	facebook.com	2013-10-05T20:04:42+0000	1381003482	180		20	18	2	21	4	225	240383372683895_562263123829250	https://www.facebook.com/240383372683895/posts/562263123829250
